GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RecordingVisitCounter,receiver,csvUtilitiesForFootFallRecord,70,0,6,0,16,0,10,0,7,0
RecordingVisitCounter,receiver,aggregateUtiltiesForFootFallData,381,0,22,0,51,0,16,0,5,0
RecordingVisitCounter,receiver,csvUtilitiesForFootFallData,128,0,6,0,27,0,7,0,4,0
RecordingVisitCounter,receiver,receiverExecutable,50,0,2,0,13,0,3,0,2,0
RecordingVisitCounter,sender,getPathToTheDirectoryOfFootFallDataFile,3,0,0,0,1,0,1,0,1,0
RecordingVisitCounter,sender,csvUtilitiesForFootFallData,51,0,2,0,16,0,4,0,3,0
RecordingVisitCounter,sender,senderExecutable,49,0,0,0,9,0,2,0,2,0
